cluster30,clus_80
40264,61141
38519,44229
49853,4113
22274,10630
3369,69344
25825,5714
504,63838
29423,31979
15165,5440
37816,57580
15081,48414
3089,26110
30954,31788
7557,18998
24944,21874
23799,71516
34647,64212
23951,70320
15165,45973
14672,50116
10785,25871
34028,38747
26813,54715
35425,154
25552,15070
33995,47492
29162,74259
24973,8474
39921,44530
31166,4751
19500,49938
20705,56525
20687,67228
2348,17759
13445,19418
15619,6305
25882,67546
38850,69626
1793,43444
34028,10242
1995,23943
10785,7791
38545,19812
48243,58082
19616,79344
35295,14722
26273,11915
15231,36672
28435,44939
20676,10998
45818,54479
37101,28644
32498,20779
18863,30297
30398,13295
7145,18346
36148,27410
27852,10312
16162,42050
41960,11376
32823,53666
5503,53228
22858,68562
6286,16024
1144,73291
42430,46474
16244,46433
47330,43966
6012,15376
15858,68247
6486,60692
6426,20529
13025,18549
22318,35695
15530,15790
39209,50132
29825,42148
1613,17238
2069,62141
6308,36166
45597,12604
16385,20936
36530,16028
6541,50179
29788,20554
46458,19505
46458,34163
18420,51162
48137,20489
23666,1427
35909,63690
36704,37931
26959,25676
11154,14739
37514,33220
28492,2215
2575,14940
8680,48165
4309,24802
37514,45664
39167,55623
15676,59267
15608,72378
8389,25890
22274,67272
10236,12732
45061,76462
603,5069
3137,30536
12198,3795
28931,72713
27753,1904
17907,55370
2256,54232
28134,52119
37244,52119
43203,40873
43203,32395
4063,5368
27930,17914
34750,17925
39809,45266
4296,49821
25972,35986
20687,67521
14027,33744
31464,59111
17583,31789
750,45920
46475,35890
41701,24523
29718,22843
3372,36051
33869,23546
33845,33308
22304,66958
9137,80967
50257,28076
38701,62810
42013,46084
14034,64226
22683,78371
45246,67695
31518,26261
24826,44560
36587,60431
29181,5128
23579,934
23580,935
21996,66701
2115,14435
38587,20048
25904,62703
39088,55525
41743,67389
20512,30575
27060,20767
17667,31964
39716,14344
26729,29554
15608,62819
26539,41097
8991,72506
603,31692
50522,59776
5815,13851
50227,24928
36450,63051
17860,24748
36393,67630
49073,2824
12851,76194
22605,9016
37990,15675
37599,13809
3467,46353
33819,32806
4280,77902
19269,72301
6358,46535
17767,49519
20999,42799
16357,6756
4460,68389
45296,9151
36342,30828
14623,58163
22855,187
22076,10467
16428,9584
29854,34903
3379,15724
16839,60249
21593,63708
24811,14648
20006,38434
7853,80510
11676,69266
6196,57952
38029,5008
41438,17958
5950,65151
15954,43010
14533,3591
22467,56482
18424,13247
9004,20333
6309,36167
48274,80968
21616,14464
47861,78038
48443,16482
17197,39281
30826,33221
46900,9484
46900,156
46900,6774
25869,5681
16162,11290
37655,44940
38271,5255
30296,51111
37244,52166
34766,4008
33882,28877
