clus_80,cluster30
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
11,11
12,12
13,13
15,15
16,16
17,17
18,18
19,19
22,22
23,23
24,24
25,25
27,27
30,30
31,31
35,35
37,37
38,38
43,43
45,45
51,51
54,54
58,58
59,59
60,60
65,65
67,67
70,70
71,71
73,73
74,74
76,76
77,77
78,78
80,80
81,81
82,82
84,84
85,85
88,88
91,91
92,92
93,93
95,95
96,96
97,97
98,98
100,100
101,101
103,103
104,104
107,107
108,108
111,111
113,113
114,114
117,117
118,118
119,119
121,121
122,122
123,123
124,124
126,126
129,129
130,130
131,131
134,134
136,136
137,137
138,138
141,141
142,142
143,143
144,144
145,145
151,151
152,152
154,154
156,156
157,157
159,159
160,160
163,163
164,164
165,165
166,166
167,167
168,168
169,169
170,170
171,171
173,173
175,175
177,177
178,178
179,179
180,180
182,182
183,183
185,185
186,186
187,187
188,188
189,189
190,190
194,194
196,196
198,198
199,199
201,201
202,202
203,203
204,204
205,205
207,207
208,208
210,210
212,212
213,213
215,215
216,216
217,217
221,221
223,223
224,224
227,227
230,230
235,235
236,236
237,237
240,240
242,242
244,244
246,246
247,247
248,248
252,252
253,253
255,255
256,256
257,257
259,259
260,260
262,262
264,264
266,266
271,271
272,272
273,273
276,276
277,277
279,279
281,281
284,284
285,285
286,286
287,287
289,289
290,290
294,294
295,295
296,296
297,297
298,298
299,299
300,300
304,304
306,306
310,310
311,311
312,312
313,313
314,314
315,315
316,316
317,317
318,318
320,320
322,322
323,323
325,325
327,327
330,330
335,335
338,338
339,339
342,342
344,344
346,346
348,348
350,350
352,352
353,353
355,355
358,358
359,359
360,360
362,362
364,364
369,369
371,371
372,372
377,377
379,379
381,381
382,382
383,383
385,385
386,386
390,390
392,392
393,393
394,394
395,395
396,396
398,398
402,402
403,403
405,405
406,406
407,407
408,408
409,409
411,411
412,412
413,413
414,414
415,415
423,423
426,426
427,427
429,429
436,436
439,439
441,441
442,442
445,445
447,447
448,448
449,449
450,450
451,451
452,452
453,453
454,454
456,456
457,457
458,458
463,463
467,467
471,471
475,475
477,477
481,481
482,482
494,494
497,497
499,499
500,500
501,501
504,504
513,513
519,519
522,522
523,523
526,526
527,527
528,528
532,532
534,534
536,536
538,538
539,539
541,541
542,542
543,543
545,545
550,550
556,556
562,562
564,564
567,567
570,570
572,572
581,581
584,584
776,776
792,792
800,800
813,813
828,828
833,833
841,841
854,854
857,857
865,865
868,868
875,875
876,876
886,886
890,890
893,893
894,894
895,895
897,897
898,898
900,900
901,901
902,902
903,903
904,904
913,913
915,915
917,917
918,918
920,920
921,921
924,924
925,925
926,926
927,927
930,930
934,934
935,935
936,936
937,937
938,938
939,939
941,941
943,943
945,945
947,947
951,951
952,952
953,953
954,954
955,955
957,957
960,960
963,963
965,965
967,967
974,974
978,978
979,979
982,982
985,985
986,986
987,987
988,988
991,991
993,993
995,995
998,998
999,999
1000,1000
1001,1001
1002,1002
1003,1003
1004,1004
1007,1007
1010,1010
1015,1015
1016,1016
1021,1021
1022,1022
1023,1023
1024,1024
1025,1025
1026,1026
1030,1030
1032,1032
1034,1034
1035,1035
1037,1037
1044,1044
1046,1046
1053,1053
1057,1057
1064,1064
1161,1161
1162,1162
1163,1163
1165,1165
1166,1166
1169,1169
1176,1176
1177,1177
1178,1178
1179,1179
1183,1183
1184,1184
1185,1185
1193,1193
1195,1195
1196,1196
1205,1205
1207,1207
1210,1210
1212,1212
1215,1215
1218,1218
1220,1220
1221,1221
1224,1224
1225,1225
1228,1228
1233,1233
1239,1239
1247,1247
1253,1253
1256,1256
1258,1258
1263,1263
1269,1269
1273,1273
1274,1274
1275,1275
1276,1276
1279,1279
1281,1281
1284,1284
1285,1285
1290,1290
1296,1296
1297,1297
1302,1302
1303,1303
1305,1305
1306,1306
1307,1307
1309,1309
1311,1311
1315,1315
1316,1316
1318,1318
1323,1323
1326,1326
1327,1327
1331,1331
1332,1332
1343,1343
1345,1345
1352,1352
1357,1357
1360,1360
1362,1362
1365,1365
1371,1371
1373,1373
1375,1375
1376,1376
1378,1378
1379,1379
1386,1386
1388,1388
1389,1389
1390,1390
1391,1391
1393,1393
1398,1398
1401,1401
1402,1402
1405,1405
1407,1407
1408,1408
1409,1409
1413,1413
1414,1414
1420,1420
1426,1426
1427,1427
1432,1432
1434,1434
1435,1435
1437,1437
1442,1442
1446,1446
1448,1448
1449,1449
1450,1450
1452,1452
1453,1453
1455,1455
1457,1457
1459,1459
1466,1466
1468,1468
1469,1469
1471,1471
1474,1474
1475,1475
1480,1480
1482,1482
1483,1483
1484,1484
1489,1489
1492,1492
1495,1495
1499,1499
1501,1501
1502,1502
1503,1503
1504,1504
1506,1506
1509,1509
1514,1514
1517,1517
1518,1518
1519,1519
1520,1520
1524,1524
1525,1525
1526,1526
1530,1530
1533,1533
1534,1534
1536,1536
1539,1539
1541,1541
1544,1544
1547,1547
1549,1549
1551,1551
1557,1557
1559,1559
1561,1561
1574,1574
1576,1576
1579,1579
1582,1582
1584,1584
1587,1587
1588,1588
1589,1589
1590,1590
1598,1598
1600,1600
1602,1602
1605,1605
1606,1606
1608,1608
1613,1613
1615,1615
1616,1616
1624,1624
1628,1628
1629,1629
1630,1630
1631,1631
1633,1633
1634,1634
1637,1637
1638,1638
1639,1639
1640,1640
1641,1641
1642,1642
1643,1643
1645,1645
1649,1649
1657,1657
1659,1659
1662,1662
1665,1665
1666,1666
1669,1669
1670,1670
1673,1673
1674,1674
1675,1675
1678,1678
1680,1680
1683,1683
1684,1684
1685,1685
1687,1687
1688,1688
1695,1695
1696,1696
1698,1698
1699,1699
1702,1702
1705,1705
1706,1706
1708,1708
1713,1713
1714,1714
1720,1720
1721,1721
1724,1724
1728,1728
1731,1731
1733,1733
1734,1734
1735,1735
1736,1736
1738,1738
1739,1739
1740,1740
1743,1743
1745,1745
1748,1748
1749,1749
1750,1750
1751,1751
1752,1752
1753,1753
1755,1755
1756,1756
1757,1757
1758,1758
1763,1763
1767,1767
1769,1769
1771,1771
1772,1772
1773,1773
1774,1774
1775,1775
1776,1776
1777,1777
1779,1779
1782,1782
1783,1783
1784,1784
1786,1786
1791,1791
1793,1793
1794,1794
1795,1795
1797,1797
1798,1798
1799,1799
1800,1800
1804,1804
1805,1805
1807,1807
1809,1809
1811,1811
1813,1813
1815,1815
1817,1817
1823,1823
1825,1825
1826,1826
1827,1827
1828,1828
1829,1829
1831,1831
1834,1834
1835,1835
1836,1836
1838,1838
1841,1841
1843,1843
1846,1846
1848,1848
1850,1850
1853,1853
1855,1855
1857,1857
1858,1858
1859,1859
1864,1864
1865,1865
1866,1866
1867,1867
1869,1869
1870,1870
1871,1871
1875,1875
1876,1876
1878,1878
1879,1879
1881,1881
1885,1885
1887,1887
1888,1888
1892,1892
1901,1901
1902,1902
1904,1904
1905,1905
1908,1908
1909,1909
1911,1911
1913,1913
1914,1914
1916,1916
1917,1917
1919,1919
1921,1921
1922,1922
1924,1924
1925,1925
1927,1927
1929,1929
1930,1930
1931,1931
1932,1932
1933,1933
1935,1935
1937,1937
1938,1938
1939,1939
1940,1940
1943,1943
1947,1947
1949,1949
1950,1950
1952,1952
1954,1954
1957,1957
1959,1959
1962,1962
1964,1964
1965,1965
1967,1967
1968,1968
1969,1969
1970,1970
1971,1971
1972,1972
1973,1973
1974,1974
1975,1975
1978,1978
1980,1980
1985,1985
1987,1987
1988,1988
1989,1989
1990,1990
1992,1992
1993,1993
1994,1994
1997,1997
1998,1998
1999,1999
2002,2002
2005,2005
2009,2009
2011,2011
2018,2018
2019,2019
2020,2020
2021,2021
2025,2025
2026,2026
2027,2027
2028,2028
2031,2031
2032,2032
2033,2033
2036,2036
2037,2037
2038,2038
2039,2039
2042,2042
2043,2043
2045,2045
2046,2046
2049,2049
2052,2052
2054,2054
2055,2055
2057,2057
2058,2058
2059,2059
2060,2060
2061,2061
2062,2062
2063,2063
2064,2064
2067,2067
2068,2068
2070,2070
2075,2075
2076,2076
2079,2079
2081,2081
2082,2082
2083,2083
2086,2086
2088,2088
2089,2089
2090,2090
2091,2091
2094,2094
2096,2096
2098,2098
2099,2099
2100,2100
2101,2101
2106,2106
2107,2107
2108,2108
2111,2111
2112,2112
2114,2114
2115,2115
2116,2116
2117,2117
2118,2118
2119,2119
2121,2121
2124,2124
2125,2125
2128,2128
2129,2129
2130,2130
2133,2133
2134,2134
2136,2136
2137,2137
2140,2140
2143,2143
2144,2144
2145,2145
2147,2147
2148,2148
2149,2149
2150,2150
2152,2152
2156,2156
2157,2157
2164,2164
