cluster30,clus_80,min_tm,clus30_min_tm
40264,61141,0.8999999761581421,0.8999999761581421
38519,44229,0.7469000220298767,0.7469000220298767
49853,4113,0.9660500288009644,0.5097500085830688
22274,10630,0.8252500295639038,0.727400004863739
3369,69344,0.945900022983551,0.9399999976158142
25825,5714,0.9577000141143799,0.9159500002861023
504,63838,0.6775000095367432,0.43459999561309814
29423,31979,0.984499990940094,0.9484500288963318
15165,5440,0.9183499813079834,0.8918499946594238
37816,57580,0.6629499793052673,0.3723999857902527
15081,48414,0.977150022983551,0.977150022983551
3089,26110,0.8627499938011169,0.8212500214576721
30954,31788,1.0,0.3497999906539917
7557,18998,0.9858999848365784,0.4640499949455261
24944,21874,0.8840000033378601,0.8840000033378601
23799,71516,0.8748000264167786,0.8012499809265137
34647,64212,0.9052000045776367,0.9052000045776367
23951,70320,0.9540500044822693,0.9540500044822693
15165,45973,0.9577000141143799,0.8918499946594238
14672,50116,0.9940999746322632,0.9156000018119812
10785,25871,0.9452499747276306,0.7508500218391418
34028,38747,0.9445499777793884,0.7512000203132629
26813,54715,0.7023500204086304,0.7023500204086304
35425,154,0.9936000108718872,0.9684500098228455
25552,15070,0.9617499709129333,0.5040500164031982
33995,47492,0.8970500230789185,0.8970500230789185
29162,74259,0.9218000173568726,0.5945500135421753
24973,8474,0.9206500053405762,0.9206500053405762
39921,44530,0.8743000030517578,0.6094499826431274
31166,4751,0.9440000057220459,0.5504999756813049
19500,49938,0.9577000141143799,0.9577000141143799
20705,56525,0.4898500144481659,0.46764999628067017
20687,67228,0.47429999709129333,0.23035000264644623
2348,17759,0.8804000020027161,0.789650022983551
13445,19418,0.8902999758720398,0.8847500085830688
15619,6305,0.9577000141143799,0.9577000141143799
25882,67546,0.8462499976158142,0.8462499976158142
38850,69626,0.9269999861717224,0.9269000291824341
1793,43444,0.8367999792098999,0.802049994468689
34028,10242,0.9406499862670898,0.7512000203132629
1995,23943,0.9922999739646912,0.6563000082969666
10785,7791,0.7530999779701233,0.7508500218391418
38545,19812,0.9745000004768372,0.9190000295639038
48243,58082,0.9577000141143799,0.9562000036239624
19616,79344,0.9956499934196472,0.9956499934196472
35295,14722,0.9742000102996826,0.9157999753952026
26273,11915,0.9056500196456909,0.9056500196456909
15231,36672,0.9815499782562256,0.8877500295639038
28435,44939,0.9309999942779541,0.9309999942779541
20676,10998,0.9279500246047974,0.8931999802589417
45818,54479,0.8999999761581421,0.8999999761581421
37101,28644,0.8999999761581421,0.8999999761581421
32498,20779,0.9907000064849854,0.9577000141143799
18863,30297,0.9676499962806702,0.9676499962806702
30398,13295,0.9577000141143799,0.9577000141143799
7145,18346,0.8999999761581421,0.8999999761581421
36148,27410,0.9248499870300293,0.9248499870300293
27852,10312,0.9509999752044678,0.7975999712944031
16162,42050,0.9746000170707703,0.516700029373169
41960,11376,0.9688000082969666,0.96875
32823,53666,0.9577000141143799,0.9577000141143799
5503,53228,0.9030500054359436,0.9030500054359436
22858,68562,0.9577000141143799,0.9577000141143799
6286,16024,0.9735999703407288,0.5913500189781189
1144,73291,0.9570000171661377,0.9570000171661377
42430,46474,0.23794999718666077,0.23794999718666077
16244,46433,0.9577000141143799,0.9447500109672546
47330,43966,0.9577000141143799,0.7785999774932861
6012,15376,0.9453999996185303,0.9453999996185303
15858,68247,0.970300018787384,0.9577000141143799
6486,60692,0.9763000011444092,0.9577000141143799
6426,20529,0.8745499849319458,0.8745499849319458
13025,18549,0.9137499928474426,0.9137499928474426
22318,35695,0.9534500241279602,0.8834499716758728
15530,15790,0.9995999932289124,0.9995999932289124
39209,50132,0.9921500086784363,0.9577000141143799
29825,42148,0.8991000056266785,0.8991000056266785
1613,17238,0.8999999761581421,0.8999999761581421
2069,62141,0.8999999761581421,0.8999999761581421
6308,36166,0.9865000247955322,0.9865000247955322
45597,12604,0.8999999761581421,0.8999999761581421
16385,20936,0.982699990272522,0.9577000141143799
36530,16028,0.9577000141143799,0.9577000141143799
6541,50179,0.7473999857902527,0.5951499938964844
29788,20554,0.9795500040054321,0.9236000180244446
46458,19505,0.9350000023841858,0.9350000023841858
46458,34163,0.9577000141143799,0.9350000023841858
18420,51162,0.5271999835968018,0.5047000050544739
48137,20489,0.9822999835014343,0.9385499954223633
23666,1427,0.8999999761581421,0.8999999761581421
35909,63690,0.9994999766349792,0.8999999761581421
36704,37931,0.791949987411499,0.791949987411499
26959,25676,0.9577000141143799,0.9577000141143799
11154,14739,0.8404499888420105,0.8404499888420105
37514,33220,0.9728999733924866,0.9577000141143799
28492,2215,0.9577000141143799,0.9577000141143799
2575,14940,0.9480000138282776,0.9480000138282776
8680,48165,0.8532999753952026,0.8532999753952026
4309,24802,0.9577000141143799,0.8970500230789185
37514,45664,0.9577000141143799,0.9577000141143799
39167,55623,0.9420999884605408,0.9233999848365784
15676,59267,0.972350001335144,0.972350001335144
15608,72378,0.9577000141143799,0.7865999937057495
8389,25890,0.9064499735832214,0.9064499735832214
22274,67272,0.8634499907493591,0.727400004863739
10236,12732,0.8166999816894531,0.8166999816894531
45061,76462,0.9864500164985657,0.9577000141143799
603,5069,0.9577000141143799,0.9577000141143799
3137,30536,0.9810000061988831,0.9577000141143799
12198,3795,0.9352999925613403,0.9093999862670898
28931,72713,0.9525499939918518,0.9525499939918518
27753,1904,0.6521000266075134,0.6521000266075134
17907,55370,0.9602000117301941,0.8799499869346619
2256,54232,0.9577000141143799,0.9114500284194946
28134,52119,0.7580000162124634,0.7580000162124634
37244,52119,0.7580000162124634,0.7580000162124634
43203,40873,0.9577000141143799,0.9577000141143799
43203,32395,0.9764999747276306,0.9577000141143799
4063,5368,0.9843000173568726,0.9577000141143799
27930,17914,0.9657999873161316,0.9575999975204468
34750,17925,0.9696999788284302,0.9254999756813049
39809,45266,0.9577000141143799,0.628849983215332
4296,49821,0.63714998960495,0.6222000122070312
25972,35986,0.7140499949455261,0.4577000141143799
20687,67521,0.6328499913215637,0.23035000264644623
14027,33744,0.9524499773979187,0.9524499773979187
31464,59111,0.9577000141143799,0.8480499982833862
17583,31789,0.9793999791145325,0.9104499816894531
750,45920,0.9802500009536743,0.9802500009536743
46475,35890,0.9132500290870667,0.9077500104904175
41701,24523,0.9724500179290771,0.9577000141143799
29718,22843,0.9858499765396118,0.9858499765396118
3372,36051,0.6094499826431274,0.6094499826431274
33869,23546,0.8999999761581421,0.8999999761581421
33845,33308,0.8999999761581421,0.8999999761581421
22304,66958,0.973800003528595,0.6176000237464905
9137,80967,0.9991999864578247,0.8640000224113464
50257,28076,0.8075000047683716,0.8075000047683716
38701,62810,0.8944000005722046,0.8944000005722046
42013,46084,0.9980000257492065,0.9577000141143799
14034,64226,0.833050012588501,0.833050012588501
22683,78371,0.9879000186920166,0.9577000141143799
45246,67695,0.9316999912261963,0.9316999912261963
31518,26261,0.9557999968528748,0.9557999968528748
24826,44560,0.9124000072479248,0.9124000072479248
36587,60431,0.9577000141143799,0.26065000891685486
29181,5128,0.9690499901771545,0.9690499901771545
23579,934,0.8999999761581421,0.8999999761581421
23580,935,0.8999999761581421,0.8999999761581421
21996,66701,0.9577000141143799,0.901449978351593
2115,14435,1.0,1.0
38587,20048,0.8771499991416931,0.6890000104904175
25904,62703,0.9418500065803528,0.9251999855041504
39088,55525,0.9776999950408936,0.9776999950408936
41743,67389,0.9815000295639038,0.9076499938964844
20512,30575,0.4945000112056732,0.4945000112056732
27060,20767,0.9948999881744385,0.9577000141143799
17667,31964,0.9643499851226807,0.9553999900817871
39716,14344,0.4648500084877014,0.4648500084877014
26729,29554,0.6612499952316284,0.6050500273704529
15608,62819,0.9183499813079834,0.7865999937057495
26539,41097,0.9577000141143799,0.9577000141143799
8991,72506,0.9577000141143799,0.9456999897956848
603,31692,0.9979000091552734,0.9577000141143799
50522,59776,0.9998000264167786,0.8502500057220459
5815,13851,0.8907999992370605,0.8907999992370605
50227,24928,0.9577000141143799,0.9325000047683716
36450,63051,0.975600004196167,0.975600004196167
17860,24748,0.7149999737739563,0.7149999737739563
36393,67630,0.8682500123977661,0.30215001106262207
49073,2824,0.8134499788284302,0.8134499788284302
12851,76194,0.9577000141143799,0.9577000141143799
22605,9016,0.9541000127792358,0.9541000127792358
37990,15675,0.8754000067710876,0.8754000067710876
37599,13809,0.8867999911308289,0.8867999911308289
3467,46353,0.9836500287055969,0.745199978351593
33819,32806,0.7088500261306763,0.7088500261306763
4280,77902,0.9577000141143799,0.9577000141143799
19269,72301,0.9823499917984009,0.9197999835014343
6358,46535,0.9766499996185303,0.9367499947547913
17767,49519,0.883400022983551,0.883400022983551
20999,42799,0.9577000141143799,0.9577000141143799
16357,6756,0.7260500192642212,0.7260500192642212
4460,68389,0.9920499920845032,0.9577000141143799
45296,9151,0.7141500115394592,0.7141500115394592
36342,30828,0.9328500032424927,0.9328500032424927
14623,58163,0.9690999984741211,0.8042500019073486
22855,187,0.9683499932289124,0.9683499932289124
22076,10467,0.8811500072479248,0.8811500072479248
16428,9584,0.9951000213623047,0.9061999917030334
29854,34903,0.9577000141143799,0.8429499864578247
3379,15724,0.9793000221252441,0.9793000221252441
16839,60249,0.9577000141143799,0.9577000141143799
21593,63708,0.8708999752998352,0.8708999752998352
24811,14648,0.9840999841690063,0.9840999841690063
20006,38434,0.9577000141143799,0.9577000141143799
7853,80510,0.9822499752044678,0.9577000141143799
11676,69266,0.9779999852180481,0.9386500120162964
6196,57952,0.9926999807357788,0.9577000141143799
38029,5008,0.9897000193595886,0.986549973487854
41438,17958,0.27059999108314514,0.27059999108314514
5950,65151,0.9650499820709229,0.9488499760627747
15954,43010,0.9657999873161316,0.9657999873161316
14533,3591,0.8021500110626221,0.7610499858856201
22467,56482,0.909250020980835,0.909250020980835
18424,13247,0.8999999761581421,0.8999999761581421
9004,20333,0.8346999883651733,0.8346999883651733
6309,36167,0.9911999702453613,0.9911999702453613
48274,80968,0.9983000159263611,0.8406000137329102
21616,14464,0.8672000169754028,0.8672000169754028
47861,78038,0.9577000141143799,0.9577000141143799
48443,16482,0.9577000141143799,0.935699999332428
17197,39281,0.9577000141143799,0.9577000141143799
30826,33221,0.9840499758720398,0.9840499758720398
46900,9484,0.9577000141143799,0.9577000141143799
46900,156,1.0,0.9577000141143799
46900,6774,1.0,0.9577000141143799
25869,5681,0.9420999884605408,0.9420999884605408
16162,11290,0.9848999977111816,0.516700029373169
37655,44940,0.9927999973297119,0.9157000184059143
38271,5255,0.9577000141143799,0.8948500156402588
30296,51111,0.8252999782562256,0.7410500049591064
37244,52166,0.9577000141143799,0.7580000162124634
34766,4008,0.9577000141143799,0.9577000141143799
33882,28877,0.682200014591217,0.682200014591217
20583,19751,0.8824499845504761,0.8824499845504761
12140,50180,0.9970999956130981,0.9970999956130981
49687,30107,0.6841999888420105,0.6841999888420105
22899,55969,0.9793499708175659,0.9577000141143799
27930,4028,0.9577000141143799,0.9575999975204468
34750,10465,0.9704999923706055,0.9254999756813049
39294,12003,0.9577000141143799,0.9577000141143799
871,2455,0.9656000137329102,0.9656000137329102
20812,24923,0.9577000141143799,0.9452499747276306
39154,76682,0.9722999930381775,0.9722999930381775
5660,14805,0.8446000218391418,0.8446000218391418
22274,46134,0.9577000141143799,0.727400004863739
16428,74810,0.9987000226974487,0.9061999917030334
15468,49670,0.9832500219345093,0.9832500219345093
42850,53810,0.8999999761581421,0.8999999761581421
20670,27850,0.9090499877929688,0.28725001215934753
6286,9093,0.8629000186920166,0.5913500189781189
32368,58143,0.9690999984741211,0.9394999742507935
36157,57535,0.8797000050544739,0.8797000050544739
48749,57693,0.9129499793052673,0.9129499793052673
686,2036,0.9577000141143799,0.9577000141143799
16569,50853,0.962149977684021,0.8873000144958496
15548,49675,0.9455999732017517,0.8998000025749207
45107,80740,0.9718999862670898,0.9718999862670898
41444,33808,0.5781499743461609,0.5781499743461609
28184,33463,0.9503999948501587,0.8547499775886536
